Codepoint,Form,Name
"5BF","◌ֿ","HEBREW POINT RAFE"
"5C1","◌ׁ","HEBREW POINT SHIN DOT"
"5C2","◌ׂ","HEBREW POINT SIN DOT"
"5C4","◌ׄ","HEBREW MARK UPPER DOT"
"5C5","◌ׅ","HEBREW MARK LOWER DOT"
"5C7","◌ׇ","HEBREW POINT QAMATS QATAN"
"610","◌ؐ","ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM"
"611","◌ؑ","ARABIC SIGN ALAYHE ASSALLAM"
"612","◌ؒ","ARABIC SIGN RAHMATULLAH ALAYHE"
"613","◌ؓ","ARABIC SIGN RADI ALLAHOU ANHU"
"614","◌ؔ","ARABIC SIGN TAKHALLUS"
"615","◌ؕ","ARABIC SMALL HIGH TAH"
"616","◌ؖ","ARABIC SMALL HIGH LIGATURE ALEF WITH LAM WITH YEH"
"617","◌ؗ","ARABIC SMALL HIGH ZAIN"
"618","◌ؘ","ARABIC SMALL FATHA"
"619","◌ؙ","ARABIC SMALL DAMMA"
"61A","◌ؚ","ARABIC SMALL KASRA"
"64B","◌ً","ARABIC FATHATAN"
"64C","◌ٌ","ARABIC DAMMATAN"
"64D","◌ٍ","ARABIC KASRATAN"
"64E","◌َ","ARABIC FATHA"
"64F","◌ُ","ARABIC DAMMA"
"650","◌ِ","ARABIC KASRA"
"651","◌ّ","ARABIC SHADDA"
"652","◌ْ","ARABIC SUKUN"
"653","◌ٓ","ARABIC MADDAH ABOVE"
"654","◌ٔ","ARABIC HAMZA ABOVE"
"655","◌ٕ","ARABIC HAMZA BELOW"
"656","◌ٖ","ARABIC SUBSCRIPT ALEF"
"657","◌ٗ","ARABIC INVERTED DAMMA"
"658","◌٘","ARABIC MARK NOON GHUNNA"
"659","◌ٙ","ARABIC ZWARAKAY"
"65A","◌ٚ","ARABIC VOWEL SIGN SMALL V ABOVE"
"65B","◌ٛ","ARABIC VOWEL SIGN INVERTED SMALL V ABOVE"
"65C","◌ٜ","ARABIC VOWEL SIGN DOT BELOW"
"65D","◌ٝ","ARABIC REVERSED DAMMA"
"65E","◌ٞ","ARABIC FATHA WITH TWO DOTS"
"65F","◌ٟ","ARABIC WAVY HAMZA BELOW"
"670","◌ٰ","ARABIC LETTER SUPERSCRIPT ALEF"
"6D6","◌ۖ","ARABIC SMALL HIGH LIGATURE SAD WITH LAM WITH ALEF MAKSURA"
"6D7","◌ۗ","ARABIC SMALL HIGH LIGATURE QAF WITH LAM WITH ALEF MAKSURA"
"6D8","◌ۘ","ARABIC SMALL HIGH MEEM INITIAL FORM"
"6D9","◌ۙ","ARABIC SMALL HIGH LAM ALEF"
"6DA","◌ۚ","ARABIC SMALL HIGH JEEM"
"6DB","◌ۛ","ARABIC SMALL HIGH THREE DOTS"
"6DC","◌ۜ","ARABIC SMALL HIGH SEEN"
"6DF","◌۟","ARABIC SMALL HIGH ROUNDED ZERO"
"6E0","◌۠","ARABIC SMALL HIGH UPRIGHT RECTANGULAR ZERO"
"6E1","◌ۡ","ARABIC SMALL HIGH DOTLESS HEAD OF KHAH"
"6E2","◌ۢ","ARABIC SMALL HIGH MEEM ISOLATED FORM"
"6E3","◌ۣ","ARABIC SMALL LOW SEEN"
"6E4","◌ۤ","ARABIC SMALL HIGH MADDA"
"6E7","◌ۧ","ARABIC SMALL HIGH YEH"
"6E8","◌ۨ","ARABIC SMALL HIGH NOON"
"6EA","◌۪","ARABIC EMPTY CENTRE LOW STOP"
"6EB","◌۫","ARABIC EMPTY CENTRE HIGH STOP"
"6EC","◌۬","ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE"
"6ED","◌ۭ","ARABIC SMALL LOW MEEM"
"711","◌ܑ","SYRIAC LETTER SUPERSCRIPT ALAPH"
"730","◌ܰ","SYRIAC PTHAHA ABOVE"
"731","◌ܱ","SYRIAC PTHAHA BELOW"
"732","◌ܲ","SYRIAC PTHAHA DOTTED"
"733","◌ܳ","SYRIAC ZQAPHA ABOVE"
"734","◌ܴ","SYRIAC ZQAPHA BELOW"
"735","◌ܵ","SYRIAC ZQAPHA DOTTED"
"736","◌ܶ","SYRIAC RBASA ABOVE"
"737","◌ܷ","SYRIAC RBASA BELOW"
"738","◌ܸ","SYRIAC DOTTED ZLAMA HORIZONTAL"
"739","◌ܹ","SYRIAC DOTTED ZLAMA ANGULAR"
"73A","◌ܺ","SYRIAC HBASA ABOVE"
"73B","◌ܻ","SYRIAC HBASA BELOW"
"73C","◌ܼ","SYRIAC HBASA-ESASA DOTTED"
"73D","◌ܽ","SYRIAC ESASA ABOVE"
"73E","◌ܾ","SYRIAC ESASA BELOW"
"73F","◌ܿ","SYRIAC RWAHA"
"740","◌݀","SYRIAC FEMININE DOT"
"741","◌݁","SYRIAC QUSHSHAYA"
"742","◌݂","SYRIAC RUKKAKHA"
"743","◌݃","SYRIAC TWO VERTICAL DOTS ABOVE"
"744","◌݄","SYRIAC TWO VERTICAL DOTS BELOW"
"745","◌݅","SYRIAC THREE DOTS ABOVE"
"746","◌݆","SYRIAC THREE DOTS BELOW"
"747","◌݇","SYRIAC OBLIQUE LINE ABOVE"
"748","◌݈","SYRIAC OBLIQUE LINE BELOW"
"749","◌݉","SYRIAC MUSIC"
"74A","◌݊","SYRIAC BARREKH"
"7A6","◌ަ","THAANA ABAFILI"
"7A7","◌ާ","THAANA AABAAFILI"
"7A8","◌ި","THAANA IBIFILI"
"7A9","◌ީ","THAANA EEBEEFILI"
"7AA","◌ު","THAANA UBUFILI"
"7AB","◌ޫ","THAANA OOBOOFILI"
"7AC","◌ެ","THAANA EBEFILI"
"7AD","◌ޭ","THAANA EYBEYFILI"
"7AE","◌ޮ","THAANA OBOFILI"
"7AF","◌ޯ","THAANA OABOAFILI"
"7B0","◌ް","THAANA SUKUN"
"7EB","◌߫","NKO COMBINING SHORT HIGH TONE"
"7EC","◌߬","NKO COMBINING SHORT LOW TONE"
"7ED","◌߭","NKO COMBINING SHORT RISING TONE"
"7EE","◌߮","NKO COMBINING LONG DESCENDING TONE"
"7EF","◌߯","NKO COMBINING LONG HIGH TONE"
"7F0","◌߰","NKO COMBINING LONG LOW TONE"
"7F1","◌߱","NKO COMBINING LONG RISING TONE"
"7F2","◌߲","NKO COMBINING NASALIZATION MARK"
"7F3","◌߳","NKO COMBINING DOUBLE DOT ABOVE"
"7FD","◌߽","NKO DANTAYALAN"
"816","◌ࠖ","SAMARITAN MARK IN"
"817","◌ࠗ","SAMARITAN MARK IN-ALAF"
"818","◌࠘","SAMARITAN MARK OCCLUSION"
"819","◌࠙","SAMARITAN MARK DAGESH"
"81B","◌ࠛ","SAMARITAN MARK EPENTHETIC YUT"
"81C","◌ࠜ","SAMARITAN VOWEL SIGN LONG E"
"81D","◌ࠝ","SAMARITAN VOWEL SIGN E"
"81E","◌ࠞ","SAMARITAN VOWEL SIGN OVERLONG AA"
"81F","◌ࠟ","SAMARITAN VOWEL SIGN LONG AA"
"820","◌ࠠ","SAMARITAN VOWEL SIGN AA"
"821","◌ࠡ","SAMARITAN VOWEL SIGN OVERLONG A"
"822","◌ࠢ","SAMARITAN VOWEL SIGN LONG A"
"823","◌ࠣ","SAMARITAN VOWEL SIGN A"
"825","◌ࠥ","SAMARITAN VOWEL SIGN SHORT A"
"826","◌ࠦ","SAMARITAN VOWEL SIGN LONG U"
"827","◌ࠧ","SAMARITAN VOWEL SIGN U"
"829","◌ࠩ","SAMARITAN VOWEL SIGN LONG I"
"82A","◌ࠪ","SAMARITAN VOWEL SIGN I"
"82B","◌ࠫ","SAMARITAN VOWEL SIGN O"
"82C","◌ࠬ","SAMARITAN VOWEL SIGN SUKUN"
"82D","◌࠭","SAMARITAN MARK NEQUDAA"
"859","◌࡙","MANDAIC AFFRICATION MARK"
"85A","◌࡚","MANDAIC VOCALIZATION MARK"
"85B","◌࡛","MANDAIC GEMINATION MARK"
"898","◌࢘","ARABIC SMALL HIGH WORD AL-JUZ"
"899","◌࢙","ARABIC SMALL LOW WORD ISHMAAM"
"89A","◌࢚","ARABIC SMALL LOW WORD IMAALA"
"89B","◌࢛","ARABIC SMALL LOW WORD TASHEEL"
"89C","◌࢜","ARABIC MADDA WAAJIB"
"89D","◌࢝","ARABIC SUPERSCRIPT ALEF MOKHASSAS"
"89E","◌࢞","ARABIC DOUBLED MADDA"
"89F","◌࢟","ARABIC HALF MADDA OVER MADDA"
"8CA","◌࣊","ARABIC SMALL HIGH FARSI YEH"
"8CB","◌࣋","ARABIC SMALL HIGH YEH BARREE WITH TWO DOTS BELOW"
"8CC","◌࣌","ARABIC SMALL HIGH WORD SAH"
"8CD","◌࣍","ARABIC SMALL HIGH ZAH"
"8CE","◌࣎","ARABIC LARGE ROUND DOT ABOVE"
"8CF","◌࣏","ARABIC LARGE ROUND DOT BELOW"
"8D0","◌࣐","ARABIC SUKUN BELOW"
"8D1","◌࣑","ARABIC LARGE CIRCLE BELOW"
"8D2","◌࣒","ARABIC LARGE ROUND DOT INSIDE CIRCLE BELOW"
"8D3","◌࣓","ARABIC SMALL LOW WAW"
"8D4","◌ࣔ","ARABIC SMALL HIGH WORD AR-RUB"
"8D5","◌ࣕ","ARABIC SMALL HIGH SAD"
"8D6","◌ࣖ","ARABIC SMALL HIGH AIN"
"8D7","◌ࣗ","ARABIC SMALL HIGH QAF"
"8D8","◌ࣘ","ARABIC SMALL HIGH NOON WITH KASRA"
"8D9","◌ࣙ","ARABIC SMALL LOW NOON WITH KASRA"
"8DA","◌ࣚ","ARABIC SMALL HIGH WORD ATH-THALATHA"
"8DB","◌ࣛ","ARABIC SMALL HIGH WORD AS-SAJDA"
"8DC","◌ࣜ","ARABIC SMALL HIGH WORD AN-NISF"
"8DD","◌ࣝ","ARABIC SMALL HIGH WORD SAKTA"
"8DE","◌ࣞ","ARABIC SMALL HIGH WORD QIF"
"8DF","◌ࣟ","ARABIC SMALL HIGH WORD WAQFA"
"8E0","◌࣠","ARABIC SMALL HIGH FOOTNOTE MARKER"
"8E1","◌࣡","ARABIC SMALL HIGH SIGN SAFHA"
"8E3","◌ࣣ","ARABIC TURNED DAMMA BELOW"
"8E4","◌ࣤ","ARABIC CURLY FATHA"
"8E5","◌ࣥ","ARABIC CURLY DAMMA"
"8E6","◌ࣦ","ARABIC CURLY KASRA"
"8E7","◌ࣧ","ARABIC CURLY FATHATAN"
"8E8","◌ࣨ","ARABIC CURLY DAMMATAN"
"8E9","◌ࣩ","ARABIC CURLY KASRATAN"
"8EA","◌࣪","ARABIC TONE ONE DOT ABOVE"
"8EB","◌࣫","ARABIC TONE TWO DOTS ABOVE"
"8EC","◌࣬","ARABIC TONE LOOP ABOVE"
"8ED","◌࣭","ARABIC TONE ONE DOT BELOW"
"8EE","◌࣮","ARABIC TONE TWO DOTS BELOW"
"8EF","◌࣯","ARABIC TONE LOOP BELOW"
"8F0","◌ࣰ","ARABIC OPEN FATHATAN"
"8F1","◌ࣱ","ARABIC OPEN DAMMATAN"
"8F2","◌ࣲ","ARABIC OPEN KASRATAN"
"8F3","◌ࣳ","ARABIC SMALL HIGH WAW"
"8F4","◌ࣴ","ARABIC FATHA WITH RING"
"8F5","◌ࣵ","ARABIC FATHA WITH DOT ABOVE"
"8F6","◌ࣶ","ARABIC KASRA WITH DOT BELOW"
"8F7","◌ࣷ","ARABIC LEFT ARROWHEAD ABOVE"
"8F8","◌ࣸ","ARABIC RIGHT ARROWHEAD ABOVE"
"8F9","◌ࣹ","ARABIC LEFT ARROWHEAD BELOW"
"8FA","◌ࣺ","ARABIC RIGHT ARROWHEAD BELOW"
"8FB","◌ࣻ","ARABIC DOUBLE RIGHT ARROWHEAD ABOVE"
"8FC","◌ࣼ","ARABIC DOUBLE RIGHT ARROWHEAD ABOVE WITH DOT"
"8FD","◌ࣽ","ARABIC RIGHT ARROWHEAD ABOVE WITH DOT"
"8FE","◌ࣾ","ARABIC DAMMA WITH DOT"
"8FF","◌ࣿ","ARABIC MARK SIDEWAYS NOON GHUNNA"
"900","◌ऀ","DEVANAGARI SIGN INVERTED CANDRABINDU"
"901","◌ँ","DEVANAGARI SIGN CANDRABINDU"
"902","◌ं","DEVANAGARI SIGN ANUSVARA"
"903","◌ः","DEVANAGARI SIGN VISARGA"
"93A","◌ऺ","DEVANAGARI VOWEL SIGN OE"
"93B","◌ऻ","DEVANAGARI VOWEL SIGN OOE"
"93C","◌़","DEVANAGARI SIGN NUKTA"
"93E","◌ा","DEVANAGARI VOWEL SIGN AA"
"93F","◌ि","DEVANAGARI VOWEL SIGN I"
"940","◌ी","DEVANAGARI VOWEL SIGN II"
"941","◌ु","DEVANAGARI VOWEL SIGN U"
"942","◌ू","DEVANAGARI VOWEL SIGN UU"
"943","◌ृ","DEVANAGARI VOWEL SIGN VOCALIC R"
"944","◌ॄ","DEVANAGARI VOWEL SIGN VOCALIC RR"
"945","◌ॅ","DEVANAGARI VOWEL SIGN CANDRA E"
"946","◌ॆ","DEVANAGARI VOWEL SIGN SHORT E"
"947","◌े","DEVANAGARI VOWEL SIGN E"
"948","◌ै","DEVANAGARI VOWEL SIGN AI"
"949","◌ॉ","DEVANAGARI VOWEL SIGN CANDRA O"
"94A","◌ॊ","DEVANAGARI VOWEL SIGN SHORT O"
"94B","◌ो","DEVANAGARI VOWEL SIGN O"
"94C","◌ौ","DEVANAGARI VOWEL SIGN AU"
"94D","◌्","DEVANAGARI SIGN VIRAMA"
"94E","◌ॎ","DEVANAGARI VOWEL SIGN PRISHTHAMATRA E"
"94F","◌ॏ","DEVANAGARI VOWEL SIGN AW"
"951","◌॑","DEVANAGARI STRESS SIGN UDATTA"
"952","◌॒","DEVANAGARI STRESS SIGN ANUDATTA"
"953","◌॓","DEVANAGARI GRAVE ACCENT"
"954","◌॔","DEVANAGARI ACUTE ACCENT"
"955","◌ॕ","DEVANAGARI VOWEL SIGN CANDRA LONG E"
"956","◌ॖ","DEVANAGARI VOWEL SIGN UE"
"957","◌ॗ","DEVANAGARI VOWEL SIGN UUE"
"962","◌ॢ","DEVANAGARI VOWEL SIGN VOCALIC L"
"963","◌ॣ","DEVANAGARI VOWEL SIGN VOCALIC LL"
"981","◌ঁ","BENGALI SIGN CANDRABINDU"
"982","◌ং","BENGALI SIGN ANUSVARA"
"983","◌ঃ","BENGALI SIGN VISARGA"
"9BC","◌়","BENGALI SIGN NUKTA"
"9BE","◌া","BENGALI VOWEL SIGN AA"
"9BF","◌ি","BENGALI VOWEL SIGN I"
"9C0","◌ী","BENGALI VOWEL SIGN II"
"9C1","◌ু","BENGALI VOWEL SIGN U"
"9C2","◌ূ","BENGALI VOWEL SIGN UU"
"9C3","◌ৃ","BENGALI VOWEL SIGN VOCALIC R"
"9C4","◌ৄ","BENGALI VOWEL SIGN VOCALIC RR"
"9C7","◌ে","BENGALI VOWEL SIGN E"
"9C8","◌ৈ","BENGALI VOWEL SIGN AI"
"9CB","◌ো","BENGALI VOWEL SIGN O"
"9CC","◌ৌ","BENGALI VOWEL SIGN AU"
"9CD","◌্","BENGALI SIGN VIRAMA"
"9D7","◌ৗ","BENGALI AU LENGTH MARK"
"9E2","◌ৢ","BENGALI VOWEL SIGN VOCALIC L"
"9E3","◌ৣ","BENGALI VOWEL SIGN VOCALIC LL"
"9FE","◌৾","BENGALI SANDHI MARK"
"A01","◌ਁ","GURMUKHI SIGN ADAK BINDI"
"A02","◌ਂ","GURMUKHI SIGN BINDI"
"A03","◌ਃ","GURMUKHI SIGN VISARGA"
"A3C","◌਼","GURMUKHI SIGN NUKTA"
"A3E","◌ਾ","GURMUKHI VOWEL SIGN AA"
"A3F","◌ਿ","GURMUKHI VOWEL SIGN I"
"A40","◌ੀ","GURMUKHI VOWEL SIGN II"
"A41","◌ੁ","GURMUKHI VOWEL SIGN U"
"A42","◌ੂ","GURMUKHI VOWEL SIGN UU"
"A47","◌ੇ","GURMUKHI VOWEL SIGN EE"
"A48","◌ੈ","GURMUKHI VOWEL SIGN AI"
"A4B","◌ੋ","GURMUKHI VOWEL SIGN OO"
"A4C","◌ੌ","GURMUKHI VOWEL SIGN AU"
"A4D","◌੍","GURMUKHI SIGN VIRAMA"
"A51","◌ੑ","GURMUKHI SIGN UDAAT"
"A70","◌ੰ","GURMUKHI TIPPI"
"A71","◌ੱ","GURMUKHI ADDAK"
"A75","◌ੵ","GURMUKHI SIGN YAKASH"
"A81","◌ઁ","GUJARATI SIGN CANDRABINDU"
"A82","◌ં","GUJARATI SIGN ANUSVARA"
"A83","◌ઃ","GUJARATI SIGN VISARGA"
"ABC","◌઼","GUJARATI SIGN NUKTA"
"ABE","◌ા","GUJARATI VOWEL SIGN AA"
"ABF","◌િ","GUJARATI VOWEL SIGN I"
"AC0","◌ી","GUJARATI VOWEL SIGN II"
"AC1","◌ુ","GUJARATI VOWEL SIGN U"
"AC2","◌ૂ","GUJARATI VOWEL SIGN UU"
"AC3","◌ૃ","GUJARATI VOWEL SIGN VOCALIC R"
"AC4","◌ૄ","GUJARATI VOWEL SIGN VOCALIC RR"
"AC5","◌ૅ","GUJARATI VOWEL SIGN CANDRA E"
"AC7","◌ે","GUJARATI VOWEL SIGN E"
"AC8","◌ૈ","GUJARATI VOWEL SIGN AI"
"AC9","◌ૉ","GUJARATI VOWEL SIGN CANDRA O"
"ACB","◌ો","GUJARATI VOWEL SIGN O"
"ACC","◌ૌ","GUJARATI VOWEL SIGN AU"
"ACD","◌્","GUJARATI SIGN VIRAMA"
"AE2","◌ૢ","GUJARATI VOWEL SIGN VOCALIC L"
"AE3","◌ૣ","GUJARATI VOWEL SIGN VOCALIC LL"
"AFA","◌ૺ","GUJARATI SIGN SUKUN"
"AFB","◌ૻ","GUJARATI SIGN SHADDA"
"AFC","◌ૼ","GUJARATI SIGN MADDAH"
"AFD","◌૽","GUJARATI SIGN THREE-DOT NUKTA ABOVE"
"AFE","◌૾","GUJARATI SIGN CIRCLE NUKTA ABOVE"
"AFF","◌૿","GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE"
"B01","◌ଁ","ORIYA SIGN CANDRABINDU"
"B02","◌ଂ","ORIYA SIGN ANUSVARA"
"B03","◌ଃ","ORIYA SIGN VISARGA"
"B3C","◌଼","ORIYA SIGN NUKTA"
"B3E","◌ା","ORIYA VOWEL SIGN AA"
"B3F","◌ି","ORIYA VOWEL SIGN I"
"B40","◌ୀ","ORIYA VOWEL SIGN II"
"B41","◌ୁ","ORIYA VOWEL SIGN U"
"B42","◌ୂ","ORIYA VOWEL SIGN UU"
"B43","◌ୃ","ORIYA VOWEL SIGN VOCALIC R"
"B44","◌ୄ","ORIYA VOWEL SIGN VOCALIC RR"
"B47","◌େ","ORIYA VOWEL SIGN E"
