Codepoint,Form,Name
"8FF","◌ࣿ","ARABIC MARK SIDEWAYS NOON GHUNNA"
"900","◌ऀ","DEVANAGARI SIGN INVERTED CANDRABINDU"
"901","◌ँ","DEVANAGARI SIGN CANDRABINDU"
"902","◌ं","DEVANAGARI SIGN ANUSVARA"
"93A","◌ऺ","DEVANAGARI VOWEL SIGN OE"
"93C","◌़","DEVANAGARI SIGN NUKTA"
"941","◌ु","DEVANAGARI VOWEL SIGN U"
"942","◌ू","DEVANAGARI VOWEL SIGN UU"
"943","◌ृ","DEVANAGARI VOWEL SIGN VOCALIC R"
"944","◌ॄ","DEVANAGARI VOWEL SIGN VOCALIC RR"
"945","◌ॅ","DEVANAGARI VOWEL SIGN CANDRA E"
"946","◌ॆ","DEVANAGARI VOWEL SIGN SHORT E"
"947","◌े","DEVANAGARI VOWEL SIGN E"
"948","◌ै","DEVANAGARI VOWEL SIGN AI"
"94D","◌्","DEVANAGARI SIGN VIRAMA"
"955","◌ॕ","DEVANAGARI VOWEL SIGN CANDRA LONG E"
"956","◌ॖ","DEVANAGARI VOWEL SIGN UE"
"957","◌ॗ","DEVANAGARI VOWEL SIGN UUE"
"962","◌ॢ","DEVANAGARI VOWEL SIGN VOCALIC L"
"963","◌ॣ","DEVANAGARI VOWEL SIGN VOCALIC LL"
"981","◌ঁ","BENGALI SIGN CANDRABINDU"
"9BC","◌়","BENGALI SIGN NUKTA"
"9C1","◌ু","BENGALI VOWEL SIGN U"
"9C2","◌ূ","BENGALI VOWEL SIGN UU"
"9C3","◌ৃ","BENGALI VOWEL SIGN VOCALIC R"
"9C4","◌ৄ","BENGALI VOWEL SIGN VOCALIC RR"
"9CD","◌্","BENGALI SIGN VIRAMA"
"9E2","◌ৢ","BENGALI VOWEL SIGN VOCALIC L"
"9E3","◌ৣ","BENGALI VOWEL SIGN VOCALIC LL"
"9FE","◌৾","BENGALI SANDHI MARK"
"A01","◌ਁ","GURMUKHI SIGN ADAK BINDI"
"A02","◌ਂ","GURMUKHI SIGN BINDI"
"A3C","◌਼","GURMUKHI SIGN NUKTA"
"A41","◌ੁ","GURMUKHI VOWEL SIGN U"
"A42","◌ੂ","GURMUKHI VOWEL SIGN UU"
"A47","◌ੇ","GURMUKHI VOWEL SIGN EE"
"A48","◌ੈ","GURMUKHI VOWEL SIGN AI"
"A4B","◌ੋ","GURMUKHI VOWEL SIGN OO"
"A4C","◌ੌ","GURMUKHI VOWEL SIGN AU"
"A4D","◌੍","GURMUKHI SIGN VIRAMA"
"A51","◌ੑ","GURMUKHI SIGN UDAAT"
"A70","◌ੰ","GURMUKHI TIPPI"
"A71","◌ੱ","GURMUKHI ADDAK"
"A75","◌ੵ","GURMUKHI SIGN YAKASH"
"A81","◌ઁ","GUJARATI SIGN CANDRABINDU"
"A82","◌ં","GUJARATI SIGN ANUSVARA"
"ABC","◌઼","GUJARATI SIGN NUKTA"
"AC1","◌ુ","GUJARATI VOWEL SIGN U"
"AC2","◌ૂ","GUJARATI VOWEL SIGN UU"
"AC3","◌ૃ","GUJARATI VOWEL SIGN VOCALIC R"
"AC4","◌ૄ","GUJARATI VOWEL SIGN VOCALIC RR"
"AC5","◌ૅ","GUJARATI VOWEL SIGN CANDRA E"
"AC7","◌ે","GUJARATI VOWEL SIGN E"
"AC8","◌ૈ","GUJARATI VOWEL SIGN AI"
"ACD","◌્","GUJARATI SIGN VIRAMA"
"AE2","◌ૢ","GUJARATI VOWEL SIGN VOCALIC L"
"AE3","◌ૣ","GUJARATI VOWEL SIGN VOCALIC LL"
"AFA","◌ૺ","GUJARATI SIGN SUKUN"
"AFB","◌ૻ","GUJARATI SIGN SHADDA"
"AFC","◌ૼ","GUJARATI SIGN MADDAH"
"AFD","◌૽","GUJARATI SIGN THREE-DOT NUKTA ABOVE"
"AFE","◌૾","GUJARATI SIGN CIRCLE NUKTA ABOVE"
"AFF","◌૿","GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE"
"B01","◌ଁ","ORIYA SIGN CANDRABINDU"
"B3C","◌଼","ORIYA SIGN NUKTA"
"B3F","◌ି","ORIYA VOWEL SIGN I"
"B41","◌ୁ","ORIYA VOWEL SIGN U"
"B42","◌ୂ","ORIYA VOWEL SIGN UU"
"B43","◌ୃ","ORIYA VOWEL SIGN VOCALIC R"
"B44","◌ୄ","ORIYA VOWEL SIGN VOCALIC RR"
"B4D","◌୍","ORIYA SIGN VIRAMA"
"B55","◌୕","ORIYA SIGN OVERLINE"
"B56","◌ୖ","ORIYA AI LENGTH MARK"
"B62","◌ୢ","ORIYA VOWEL SIGN VOCALIC L"
"B63","◌ୣ","ORIYA VOWEL SIGN VOCALIC LL"
"BC0","◌ீ","TAMIL VOWEL SIGN II"
"BCD","◌்","TAMIL SIGN VIRAMA"
"C04","◌ఄ","TELUGU SIGN COMBINING ANUSVARA ABOVE"
"C3C","◌఼","TELUGU SIGN NUKTA"
"C3E","◌ా","TELUGU VOWEL SIGN AA"
"C3F","◌ి","TELUGU VOWEL SIGN I"
"C40","◌ీ","TELUGU VOWEL SIGN II"
"C46","◌ె","TELUGU VOWEL SIGN E"
"C47","◌ే","TELUGU VOWEL SIGN EE"
"C48","◌ై","TELUGU VOWEL SIGN AI"
"C4A","◌ొ","TELUGU VOWEL SIGN O"
"C4B","◌ో","TELUGU VOWEL SIGN OO"
"C4C","◌ౌ","TELUGU VOWEL SIGN AU"
"C4D","◌్","TELUGU SIGN VIRAMA"
"C55","◌ౕ","TELUGU LENGTH MARK"
"C56","◌ౖ","TELUGU AI LENGTH MARK"
"C62","◌ౢ","TELUGU VOWEL SIGN VOCALIC L"
"C63","◌ౣ","TELUGU VOWEL SIGN VOCALIC LL"
"CBC","◌಼","KANNADA SIGN NUKTA"
"CBF","◌ಿ","KANNADA VOWEL SIGN I"
"CC6","◌ೆ","KANNADA VOWEL SIGN E"
"CCC","◌ೌ","KANNADA VOWEL SIGN AU"
"CCD","◌್","KANNADA SIGN VIRAMA"
"CE2","◌ೢ","KANNADA VOWEL SIGN VOCALIC L"
"CE3","◌ೣ","KANNADA VOWEL SIGN VOCALIC LL"
"D00","◌ഀ","MALAYALAM SIGN COMBINING ANUSVARA ABOVE"
"D41","◌ു","MALAYALAM VOWEL SIGN U"
"D42","◌ൂ","MALAYALAM VOWEL SIGN UU"
"D43","◌ൃ","MALAYALAM VOWEL SIGN VOCALIC R"
"D44","◌ൄ","MALAYALAM VOWEL SIGN VOCALIC RR"
"D4D","◌്","MALAYALAM SIGN VIRAMA"
"D62","◌ൢ","MALAYALAM VOWEL SIGN VOCALIC L"
"D63","◌ൣ","MALAYALAM VOWEL SIGN VOCALIC LL"
"D81","◌ඁ","SINHALA SIGN CANDRABINDU"
"DCA","◌්","SINHALA SIGN AL-LAKUNA"
"DD2","◌ි","SINHALA VOWEL SIGN KETTI IS-PILLA"
"DD3","◌ී","SINHALA VOWEL SIGN DIGA IS-PILLA"
"DD4","◌ු","SINHALA VOWEL SIGN KETTI PAA-PILLA"
"DD6","◌ූ","SINHALA VOWEL SIGN DIGA PAA-PILLA"
"E31","◌ั","THAI CHARACTER MAI HAN-AKAT"
"E34","◌ิ","THAI CHARACTER SARA I"
"E35","◌ี","THAI CHARACTER SARA II"
"E36","◌ึ","THAI CHARACTER SARA UE"
"E37","◌ื","THAI CHARACTER SARA UEE"
"E38","◌ุ","THAI CHARACTER SARA U"
"E39","◌ู","THAI CHARACTER SARA UU"
"E3A","◌ฺ","THAI CHARACTER PHINTHU"
"E47","◌็","THAI CHARACTER MAITAIKHU"
"E48","◌่","THAI CHARACTER MAI EK"
"E49","◌้","THAI CHARACTER MAI THO"
"E4A","◌๊","THAI CHARACTER MAI TRI"
"E4B","◌๋","THAI CHARACTER MAI CHATTAWA"
"E4C","◌์","THAI CHARACTER THANTHAKHAT"
"E4D","◌ํ","THAI CHARACTER NIKHAHIT"
"E4E","◌๎","THAI CHARACTER YAMAKKAN"
"EB1","◌ັ","LAO VOWEL SIGN MAI KAN"
"EB4","◌ິ","LAO VOWEL SIGN I"
"EB5","◌ີ","LAO VOWEL SIGN II"
"EB6","◌ຶ","LAO VOWEL SIGN Y"
"EB7","◌ື","LAO VOWEL SIGN YY"
"EB8","◌ຸ","LAO VOWEL SIGN U"
"EB9","◌ູ","LAO VOWEL SIGN UU"
"EBA","◌຺","LAO SIGN PALI VIRAMA"
"EBB","◌ົ","LAO VOWEL SIGN MAI KON"
"EBC","◌ຼ","LAO SEMIVOWEL SIGN LO"
"EC8","◌່","LAO TONE MAI EK"
"EC9","◌້","LAO TONE MAI THO"
"ECA","◌໊","LAO TONE MAI TI"
"ECB","◌໋","LAO TONE MAI CATAWA"
"ECC","◌໌","LAO CANCELLATION MARK"
"ECD","◌ໍ","LAO NIGGAHITA"
"ECE","◌໎","LAO YAMAKKAN"
"F18","◌༘","TIBETAN ASTROLOGICAL SIGN -KHYUD PA"
"F19","◌༙","TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS"
"F35","◌༵","TIBETAN MARK NGAS BZUNG NYI ZLA"
"F37","◌༷","TIBETAN MARK NGAS BZUNG SGOR RTAGS"
"F39","◌༹","TIBETAN MARK TSA -PHRU"
"F71","◌ཱ","TIBETAN VOWEL SIGN AA"
"F72","◌ི","TIBETAN VOWEL SIGN I"
"F74","◌ུ","TIBETAN VOWEL SIGN U"
"F7A","◌ེ","TIBETAN VOWEL SIGN E"
"F7B","◌ཻ","TIBETAN VOWEL SIGN EE"
"F7C","◌ོ","TIBETAN VOWEL SIGN O"
"F7D","◌ཽ","TIBETAN VOWEL SIGN OO"
"F7E","◌ཾ","TIBETAN SIGN RJES SU NGA RO"
"F80","◌ྀ","TIBETAN VOWEL SIGN REVERSED I"
"F82","◌ྂ","TIBETAN SIGN NYI ZLA NAA DA"
"F83","◌ྃ","TIBETAN SIGN SNA LDAN"
"F84","◌྄","TIBETAN MARK HALANTA"
"F86","◌྆","TIBETAN SIGN LCI RTAGS"
"F87","◌྇","TIBETAN SIGN YANG RTAGS"
"F8D","◌ྍ","TIBETAN SUBJOINED SIGN LCE TSA CAN"
"F8E","◌ྎ","TIBETAN SUBJOINED SIGN MCHU CAN"
"F8F","◌ྏ","TIBETAN SUBJOINED SIGN INVERTED MCHU CAN"
"F90","◌ྐ","TIBETAN SUBJOINED LETTER KA"
"F91","◌ྑ","TIBETAN SUBJOINED LETTER KHA"
"F92","◌ྒ","TIBETAN SUBJOINED LETTER GA"
"F94","◌ྔ","TIBETAN SUBJOINED LETTER NGA"
"F95","◌ྕ","TIBETAN SUBJOINED LETTER CA"
"F96","◌ྖ","TIBETAN SUBJOINED LETTER CHA"
"F97","◌ྗ","TIBETAN SUBJOINED LETTER JA"
"F99","◌ྙ","TIBETAN SUBJOINED LETTER NYA"
"F9A","◌ྚ","TIBETAN SUBJOINED LETTER TTA"
"F9B","◌ྛ","TIBETAN SUBJOINED LETTER TTHA"
"F9C","◌ྜ","TIBETAN SUBJOINED LETTER DDA"
"F9E","◌ྞ","TIBETAN SUBJOINED LETTER NNA"
"F9F","◌ྟ","TIBETAN SUBJOINED LETTER TA"
"FA0","◌ྠ","TIBETAN SUBJOINED LETTER THA"
"FA1","◌ྡ","TIBETAN SUBJOINED LETTER DA"
"FA3","◌ྣ","TIBETAN SUBJOINED LETTER NA"
"FA4","◌ྤ","TIBETAN SUBJOINED LETTER PA"
"FA5","◌ྥ","TIBETAN SUBJOINED LETTER PHA"
"FA6","◌ྦ","TIBETAN SUBJOINED LETTER BA"
"FA8","◌ྨ","TIBETAN SUBJOINED LETTER MA"
"FA9","◌ྩ","TIBETAN SUBJOINED LETTER TSA"
"FAA","◌ྪ","TIBETAN SUBJOINED LETTER TSHA"
"FAB","◌ྫ","TIBETAN SUBJOINED LETTER DZA"
"FAD","◌ྭ","TIBETAN SUBJOINED LETTER WA"
"FAE","◌ྮ","TIBETAN SUBJOINED LETTER ZHA"
"FAF","◌ྯ","TIBETAN SUBJOINED LETTER ZA"
"FB0","◌ྰ","TIBETAN SUBJOINED LETTER -A"
"FB1","◌ྱ","TIBETAN SUBJOINED LETTER YA"
"FB2","◌ྲ","TIBETAN SUBJOINED LETTER RA"
"FB3","◌ླ","TIBETAN SUBJOINED LETTER LA"
"FB4","◌ྴ","TIBETAN SUBJOINED LETTER SHA"
"FB5","◌ྵ","TIBETAN SUBJOINED LETTER SSA"
"FB6","◌ྶ","TIBETAN SUBJOINED LETTER SA"
"FB7","◌ྷ","TIBETAN SUBJOINED LETTER HA"
"FB8","◌ྸ","TIBETAN SUBJOINED LETTER A"
"FBA","◌ྺ","TIBETAN SUBJOINED LETTER FIXED-FORM WA"
"FBB","◌ྻ","TIBETAN SUBJOINED LETTER FIXED-FORM YA"
"FBC","◌ྼ","TIBETAN SUBJOINED LETTER FIXED-FORM RA"
"FC6","◌࿆","TIBETAN SYMBOL PADMA GDAN"
"102D","◌ိ","MYANMAR VOWEL SIGN I"
"102E","◌ီ","MYANMAR VOWEL SIGN II"
"102F","◌ု","MYANMAR VOWEL SIGN U"
"1030","◌ူ","MYANMAR VOWEL SIGN UU"
"1032","◌ဲ","MYANMAR VOWEL SIGN AI"
"1033","◌ဳ","MYANMAR VOWEL SIGN MON II"
"1034","◌ဴ","MYANMAR VOWEL SIGN MON O"
"1035","◌ဵ","MYANMAR VOWEL SIGN E ABOVE"
"1036","◌ံ","MYANMAR SIGN ANUSVARA"
"1037","◌့","MYANMAR SIGN DOT BELOW"
"1039","◌္","MYANMAR SIGN VIRAMA"
"103A","◌်","MYANMAR SIGN ASAT"
"103D","◌ွ","MYANMAR CONSONANT SIGN MEDIAL WA"
"103E","◌ှ","MYANMAR CONSONANT SIGN MEDIAL HA"
"1058","◌ၘ","MYANMAR VOWEL SIGN VOCALIC L"
"1059","◌ၙ","MYANMAR VOWEL SIGN VOCALIC LL"
"105E","◌ၞ","MYANMAR CONSONANT SIGN MON MEDIAL NA"
"105F","◌ၟ","MYANMAR CONSONANT SIGN MON MEDIAL MA"
"1060","◌ၠ","MYANMAR CONSONANT SIGN MON MEDIAL LA"
"1071","◌ၱ","MYANMAR VOWEL SIGN GEBA KAREN I"
"1072","◌ၲ","MYANMAR VOWEL SIGN KAYAH OE"
"1073","◌ၳ","MYANMAR VOWEL SIGN KAYAH U"
"1074","◌ၴ","MYANMAR VOWEL SIGN KAYAH EE"
"1082","◌ႂ","MYANMAR CONSONANT SIGN SHAN MEDIAL WA"
"1085","◌ႅ","MYANMAR VOWEL SIGN SHAN E ABOVE"
"1086","◌ႆ","MYANMAR VOWEL SIGN SHAN FINAL Y"
"108D","◌ႍ","MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE"
"109D","◌ႝ","MYANMAR VOWEL SIGN AITON AI"
"135D","◌፝","ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK"
"135E","◌፞","ETHIOPIC COMBINING VOWEL LENGTH MARK"
"135F","◌፟","ETHIOPIC COMBINING GEMINATION MARK"
"1712","◌ᜒ","TAGALOG VOWEL SIGN I"
"1713","◌ᜓ","TAGALOG VOWEL SIGN U"
"1714","◌᜔","TAGALOG SIGN VIRAMA"
"1732","◌ᜲ","HANUNOO VOWEL SIGN I"
"1733","◌ᜳ","HANUNOO VOWEL SIGN U"
"1752","◌ᝒ","BUHID VOWEL SIGN I"
"1753","◌ᝓ","BUHID VOWEL SIGN U"
"1772","◌ᝲ","TAGBANWA VOWEL SIGN I"
"1773","◌ᝳ","TAGBANWA VOWEL SIGN U"
"17B7","◌ិ","KHMER VOWEL SIGN I"
"17B8","◌ី","KHMER VOWEL SIGN II"
"17B9","◌ឹ","KHMER VOWEL SIGN Y"
"17BA","◌ឺ","KHMER VOWEL SIGN YY"
"17BB","◌ុ","KHMER VOWEL SIGN U"
"17BC","◌ូ","KHMER VOWEL SIGN UU"
"17BD","◌ួ","KHMER VOWEL SIGN UA"
"17C6","◌ំ","KHMER SIGN NIKAHIT"
"17C9","◌៉","KHMER SIGN MUUSIKATOAN"
"17CA","◌៊","KHMER SIGN TRIISAP"
"17CB","◌់","KHMER SIGN BANTOC"
"17CC","◌៌","KHMER SIGN ROBAT"
"17CD","◌៍","KHMER SIGN TOANDAKHIAT"
"17CE","◌៎","KHMER SIGN KAKABAT"
"17CF","◌៏","KHMER SIGN AHSDA"
"17D0","◌័","KHMER SIGN SAMYOK SANNYA"
"17D2","◌្","KHMER SIGN COENG"
"1885","◌ᢅ","MONGOLIAN LETTER ALI GALI BALUDA"
"1886","◌ᢆ","MONGOLIAN LETTER ALI GALI THREE BALUDA"
"18A9","◌ᢩ","MONGOLIAN LETTER ALI GALI DAGALGA"
"1920","◌ᤠ","LIMBU VOWEL SIGN A"
"1921","◌ᤡ","LIMBU VOWEL SIGN I"
"1922","◌ᤢ","LIMBU VOWEL SIGN U"
"1927","◌ᤧ","LIMBU VOWEL SIGN E"
"1928","◌ᤨ","LIMBU VOWEL SIGN O"
"1932","◌ᤲ","LIMBU SMALL LETTER ANUSVARA"
"1939","◌᤹","LIMBU SIGN MUKPHRENG"
"193A","◌᤺","LIMBU SIGN KEMPHRENG"
"193B","◌᤻","LIMBU SIGN SA-I"
"1A17","◌ᨗ","BUGINESE VOWEL SIGN I"
"1A18","◌ᨘ","BUGINESE VOWEL SIGN U"
"1A1B","◌ᨛ","BUGINESE VOWEL SIGN AE"
"1A56","◌ᩖ","TAI THAM CONSONANT SIGN MEDIAL LA"
"1A58","◌ᩘ","TAI THAM SIGN MAI KANG LAI"
"1A59","◌ᩙ","TAI THAM CONSONANT SIGN FINAL NGA"
"1A5A","◌ᩚ","TAI THAM CONSONANT SIGN LOW PA"
